Job_Title,Company,Location,Job_Position,Job Position,Salary Min,Salary Max,Job_Description,Tag
Creative (Junior Level)  ยินดีรับนักศึกษาจบใหม่,"Serendipity Media Co., Ltd.","Pathum Wan, Bangkok",Art Direction,Full time,,,"Creative  (Junior Level) ยินดีรับนักศึกษาจบใหม่ We are looking for a Creative (Junior)  in Production team who is eager and highly-motivated to learn and join our professional team. Qualifications Thai Bachelor’s Degree in Digital Media Production,Flim or any related field 0-1 year of experience in Creative Production or related. Direct experience in  Creative Production is a plus Understanding in Pre-Post production role. Proficiency in Mac OS and Adobe creative program . Good creativity and presentation skills. Ability to script writing is a plus. Ability to manage multiple tasks in fast environment to meet deadline Excellent in team spirit. JOB description To create , support VOGUE (Thailand), VOGUE Beauty and GQ (Thailand). Working close with creative director or director. Provide idea to production team for small size project such as event VDO, behind the scene vdo or interview content to shooting day. Work with VDO team to develop social VDO content and franchises, including for TikTok and instagram. Script writing. Understanding production work-flow. Co-working with post-production team. Email: hr[at sign]serendipity.co.th or Click Apply Now. Important: Please attach your updated resume  including  your salary expectations. ***บริษัทขอสงวนสิทธิ์พิจารณาเฉพาะผู้สมัครที่แนบผลงาน/Link มาเพื่อพิจารณาเท่านั้น *** Please note that only short-listed candidates will be contacted Serendipity Media Co., Ltd. Address : 4.4/5 Zen World, 12MFloor, Room No. 12M10-13, Rajadamri Road, Pathumwan, Bangkok 10330 Phone : 0-2658-6530 Fax : 0-2658-6515 Website: www.vogue.co.th [link removed]     www.gqthailand.com [link removed]","Advertising,Arts & Media"
Production Manager (Thairath Online),"TRIPLE V BROADCAST CO., LTD.","Chatuchak, Bangkok",Programming & Production,Full time,,,"รายละเอียดงาน ทำงานโปรดักชั่น ตั้งแต่ก่อนการผลิต(เตรียมการ) การผลิต(ถ่ายทำ) และหลังการผลิต(ตัดต่อ แต่งภาพ เสียง เอฟเฟ็กต์) และควบคุมกระบวนการทำงานได้ตรงกับโจทย์การสื่อสารและโจทย์ทางธุรกิจของลูกค้าให้ผลงานออกมาสำเร็จอย่างมีคุณภาพ ตรวจสอบคุณภาพของผลงาน บริหารความสมดุล ระหว่างความพึงพอใจของลูกค้ากับหน้าที่ของสื่อวิชาชีพ ร่วมทำแผนนำเสนอลูกค้าตามโจทย์ที่ได้รับมอบหมายจาก Creative Director หรือ Project Manager ทั้งส่วนที่เป็นงานตามโจทย์ และการทำงานเชิงรุก บริหารทีมงานโปรดักชั่น ภายในหรือภายนอกองค์กร คุณสมบัติ วุฒิการศึกษาปริญญาตรี สาขาวิชานิเทศศิลป์ โฆษณา ภาพยนตร์วิทยุโทรทัศน์ มัลติมีเดีย หรือสาขาที่เกี่ยวข้อง มีประสบการณ์ในสายงาน Production ไม่น้อยกว่า 5 ปี คิดสร้างสรรค์ เล่าเรื่อง พัฒนา นำเสนอไอเดีย ให้สอดคล้องตามโจทย์ที่ได้รับมอบหมายได้ เข้าใจกระบวนการและสามารถผลิตงานเพื่อใช้ใน Online Platform ได้เป็นอย่างดี สามารถคุมงาน Live Streaming ได้ สามารถใช้โปรแกรม VDO ได้เป็นอย่างดี (Adobe, Motion Graphic) โปรแกรม Presentation หรือโปรแกรมที่เกี่ยวข้องได้ หากใช้ โปรแกรมอื่นๆได้จะพิจารณาเป็นพิเศษ (Photoshop, Illustrator, Ai Generate) สามารถสื่อสารกับผู้อื่น และทำงานเป็นทีมได้ดีเยี่ยม สามารถปรับตัว แก้ไขสถานการณ์ต่างๆได้ดี มีความรับผิดชอบและสามารถปรับเวลาการทำงานให้เข้างานที่ได้รับมอบหมายได้","Advertising,Arts & Media"
Graphic Designer,Central Group (Corporate Unit),"Pathum Wan, Bangkok",Art Direction,Full time,,,"Job Description ออกแบบ สร้างแบบ และปรับปรุงงานด้านกราฟฟิกดีไซน์ที่ทันสมัย สร้างสรรค์ และเหมาะสมให้ตรงกับวัตถุประสงค์ของงาน (สื่อขึ้นจอ digital และสื่อในศูนย์การค้า) ปรับปรุงงานด้านกราฟฟิก content ไม่ว่าจะเป็นภาพหรือวีดีโอ ให้กับลูกค้าให้เหมาะสมกับโจทย์ของลูกค้า และเหมาะสมกับชนิดสื่อที่จะนำมาใช้ เข้าใจความต้องการของกลุ่มเป้าหมาย (กลุ่มลูกค้า แบรนดิ้ง และแนวทาง guideline จากบริษัทและลูกค้า) ในรายละเอียดการจัดทำเครื่องมือเพื่อสื่อสารการตลาด  ปฏิบัติงานถ่ายรูป และสร้างสรรค์สิ่งใหม่ ๆ ที่เกี่ยวกับการสื่อสาร สามารถจัดการและส่งมอบงานได้ตามเวลาที่กำหนด Qualifications วุฒิการศึกษา ปริญญาตรีสาขา สาขาวิชา Graphic design, นิเทศศิลป์ หรือสาขาอื่น ๆ ที่เกี่ยวข้อง มีประสบการณ์ด้าน Graphic content มีความรู้ความสามารถในการใช้โปรแกรมสำเร็จรูปได้เป็นอย่างดี (โปรแกรม Word, Excel, Internet, Photoshop, Illustrator) กรุณาแนบผลงานที่ผ่านมาหรืองานที่แสดงถึงความทันสมัยและสร้างสรรค์","Advertising,Arts & Media"
Production Assistant/ผู้ช่วยกองถ่าย,"Applebox Asia (Bangkok) Co., Ltd.","Suan Luang, Bangkok",Programming & Production,Full time,25000.0,29999.0,"Qualification Easy going, work hard, and can work under high pressure Be able to speak English in good and fluent level Job Description : Production team helping To involve in all aspects of production work To coordinate in between all departments; i.e. casting, location, wardrobe, art departments, catering, transport, etc","Advertising,Arts & Media"
Account Executive / Account Manager,MEDIAKEYS COMPANY LIMITED,"Vadhana, Bangkok","Media Strategy, Planning & Buying",Full time,,,"Open for both Account Executive / Account Manager according to experience As one of the leading international advertising agency in the world, Mediakeys Thailand is looking for Account Executive / Account Manager to fuel the growth of our Bangkok Office. This position  must have at least 1-3 years of relevant experience in the online ads, DSP, app/website development,  or any other offline medias, having an entrepreneurship spirit and able to handle business prospecting and account servicing. As we’re growing the team in Bangkok, this position must be able to undertake multiple hats for growing up the business. Responsibilities: You will be doing develop new clients under sales target KPI and build strong relationship with new/existing clients. You will be responsible for managing every process of campaigns, to ensure that proposal meets up for their needs and campaign goals are clearly understood and correctly implemented, with all deliverables fulfilled and deadlines met. You will be part of a local team working with other overseas offices, as well as with colleagues at our Bangkok office, to make sure campaigns are executed in a timely manner. Required Skills: Bachelor or Master Degree in Business Administration, Marketing, Mass Communication, IT At least 1-3 years of experience in Advertising, Tech or other related fields Excellent client relationship building and negotiation skills Strong written and verbal communication skills in ENG / TH Resourcefulness and an aptitude for solving problems Strong communication and presentation skills Multi-tasking, self-motivated, well organised Ability to working on proposals and using MS Office applications and/or Google drive Ability to take initiative and work in an entrepreneurial growing environment Ability to travel occasionally Plus Points: Media Planning experience for both online and offline (Media agency side preferred) Experience with any analytic dashboards Knowledge of Programmatic, AI Knowledge of any 3rd language We are looking for a proactive team player with a positive attitude and a good sense of humor. Please apply with your resume (cover letter is optional) and any additional written / edited material to illustrate your motivation and fit with our company will always be appreciated.","Advertising,Arts & Media"
Product Manager (Aesthetics),Clay International Holdings Ltd.,"Bang Kapi, Bangkok","Media Strategy, Planning & Buying",Full time,,,"We are seeking a dynamic and experienced Product Manager to spearhead the development and market success of our medical device/pharmaceutical (Aesthetics) product line. The ideal candidate will be instrumental in strategizing, launching, and managing the lifecycle of innovative medical devices, ensuring their success in the aesthetics market. Key Responsibilities: Product Strategy: Develop and execute a comprehensive product strategy for our medical device/pharmaceutical (Aesthetics) product line, aligned with company goals and market demands. Market Analysis: Conduct market research, analyze trends, and identify customer needs to drive product development and market penetration strategies. Product Development: Collaborate with cross-functional teams to oversee the entire product lifecycle, from concept to launch, ensuring high-quality and innovative solutions. New Product Development: Spearhead the identification, evaluation, and development of new medical device/pharmaceutical (Aesthetics) products through extensive market research and analysis. Competitive Analysis: Conduct competitive assessments, identify market gaps, and propose strategies to maintain a competitive edge. Sales Enablement: Provide sales teams with comprehensive product knowledge, training, and collateral to drive successful product adoption and sales. Customer Engagement: Engage with key opinion leaders, healthcare professionals, and customers to gather feedback and insights for product enhancement. Performance Monitoring: Track product performance metrics, analyze sales data, and iterate strategies to optimize product success in the market. Perform other tasks as requested Qualifications: Bachelor's degree in Business Administration, Marketing, or related field (Master's preferred) . 3+ years of proven experience in Product Management within the Aesthetics field (medical device/pharmaceutical). Demonstrated success in launching and managing products through their lifecycle. Strong analytical skills with the ability to interpret data and market trends. Exceptional communication and presentation skills. In-depth understanding of the Aesthetics (medical device/pharmaceutical) market regulations. Active self-learner with a positive attitude, displaying motivation, and fostering collaboration as a strong team leader. Computer literacy and proficiency in English. Ready to dive into the exciting world of Aesthetics? We're on the lookout for go-getters! If you're enthusiastic and up for a challenge, this is your chance to shine! Let's team up and make things happen. Drop us your CV, expected salary, a recent pic, a copy of your ID, and your academic transcript via 'Apply Now' below. Let's kickstart something awesome together!"" 😊 Clay International Holdings Ltd. 51 Major Tower Rama9 - Ramkhamhaeng, 20th Floor, Unit 2004 Rama9 - Ramkhamhaeng Road, Hua Mak , Bang Kapi District, Bangkok 10240 Tel: 02-116-0608 , 066 -112-0216 🚉 [link removed] Near us ; 600 m away from Airport link Ramkhanmhaeng station 100 m away from The Mall (Ramkhanmhaeng) and Klongtoey San Seab pier to Patunam Bus from Victory monument to the company 168,171, ปอ.พ4-2","Advertising,Arts & Media"
Video & Content Editor,"Remark Agency Co., Ltd","Bang Na, Bangkok",Art Direction,Full time,,,"Summary of Role: Video & Content Editor will arrange, assemble, and process dozens of recorded and stock video clips into a seamless whole as well as transform raw clips and video footage into high-quality finished videos used to inform, engage, and inspire their audience. This position will work closely with the production, creative, and marketing teams to ensure alignment with project goals. Your responsibilities: Plan and design videos which is an interesting way according to the objectives of the campaign through social media channels (Facebook, Instagram, X, and TikTok). Shoots video and produces content as plan and design Edits videos to targeted length and specifications Handles and organizes raw and edited video files Exports videos and facilitates mobile and web distribution Explores different versions and directions Ensures compliance with the highest journalist standards Adjusts formats and file sizes as needed Working closely with the team to ensure client requests are delivered . Requirement: Bachelor's degree in Graphic Design or a related field At least 3 years of direct experience in digital, advertising, or social media agency Proficiency with video/animation programs and photography is a must. Specialized software applications and editing tools to merge content from multiple sources and add pictures, graphics, visual effects, voice, sound effects, and music. (such as, but not limited to, Adobe Premiere, Photoshop, Lightroom, etc.) Knowledge of digital, social media, and content marketing from the perspective to brand High creativity, thinking outside the box, and innovative. Have the ability to manage multiple projects Why us? Change to work with multiple international and top brands A supportive working environment which will help you grows your skills and future work career Location close to BTS line. Working condition and benefit: Office hours: Mon- Fri 9.30-18.30 (May be some late evening to finished up the projects) Social Security Fund Group Insurance Annual Leave Business Leave If all these seem like you, please send us your CV with portfolio and let’s talk possibilities.  Please note that the only shortlisted candidates with the full details will be contacted.","Advertising,Arts & Media"
Digital Account Executive,"Next Rocket Co., Ltd.","Khlong Toei, Bangkok",Other,Full time,20000.0,29999.0,"Responsibilities Day-to-day management of clients’ marketing and advertising campaigns Co-operate with both internal and external parties to complete services Present effective marketing and advertising support activities to clients Report current situation / performance to clients' top executives Arranging meetings and liaising with clients to understand their requirements Disclosing campaign details to the client and all team members Handling complaints and negotiations. Monitoring all stages of campaigns to guarantee that they run smoothly Writing status reports throughout the duration of the project to keep clients and peers updated Building long-lasting, mutually beneficial relationships with external contacts and internal departments   to create a better customer experience. Several kinds of online marketing project management Present creative idea from creative team to client. Help create strategy with planner, media, and creative team Online advertising management (Facebook, Google Ads, TikTok, etc.) Provide clients with quotations. Qualification: Experienced in Advertising Agency and online marketing field is a plus. Flexible to adapt to changes within campaigns. Excellent knowledge of internet technology, new trends, and the latest social media innovation (Facebook, Twitter, Youtube, Instagram, and etc.). Excellent in Thai & English Communication both verbal and written skills Proficient in Microsoft Words, Excel, PowerPoint Strong managerial skills especially people management and leadership Pleasant personality, good interpersonal skills, optimistic attitude, service minded Strong communication and presentation skills Good skills in presentation, digital project management, interpersonal skills, logical thinking, and problem solving. Team Work skill  between client and digital teams in terms of coordination and achievement of  client’s expectations. Passion to work online/integrated marketing Having experience about planner is preferable.","Advertising,Arts & Media"
Account Manager / Account Director,Hakuhodo International (Thailand),"Pathum Wan, Bangkok","Media Strategy, Planning & Buying",Full time,,,"HAKUHODO INTERNATIONAL THAILAND and all subsidiaries is the 360 advertising agency service. We are recruiting an Account Manager for our clients. We are open for candidate who has experience in 360 advertising or digital advertising. We are also have regional clients so candidate must can communicate in English fluently. Duties & Responsibilities Lead accounts and teams by oneself and report to the supervisor. Complex account and high-ranking client management. Train and build team members’ strengths and capabilities. Strategic thinking and critical thinking with productive input for involved teams. Diverse and able to manage a wide range of account categories. Idea initiations for business solutions. Business-oriented mind editing and proof work to ensure high editorial standards are met across all content outputs. Qualifications Bachelor’s Degree in Business Administration / Marketing / Mass Communication At least 5-year’s experience as an account executive, account management, e-commerce, digital marketing, or related field. Have experience in Automobile industry, FMCG industry, Consumer goods industry, Beverage Industry, Home appliances or Food industry. Proficient in programs including PowerPoint, MS Office, and Excel. Must have a excellent command of English. Having good experience in both advertising campaign planning and media both offline/online. Well pleasant with a positive working attitude and willing to work as a team. Easypass candidate must has English certificate Have direct experience in advertising agency Have experience in Automobile industry, FMCG industry, Consumer goods industry, Beverage Industry, Home appliances or Food industry Have direct experience in 360 Advertising or Online advertising. Why you will love us Flexible working hours and place Work from home policy Work with big brand clients and professional team Have own Cafe' and 40 working spaces for your privates working Fun activities twice a month for balancing your life and work Office located in the healthy location (Wireless Road, close to Lumpini Park) Shower room provided","Advertising,Arts & Media"
Mid-Senior Creative Strategist - Creative Department (Client Facing)...,The Chosen One Agency,"Vadhana, Bangkok",Art Direction,Full time,35000.0,54999.0,"The Chosen One Agency We are always looking to connect with likeminded high performers. Whether you see something that fits, or if you simply would like to connect, feel free to reach out below! Check Out Our Website [link removed] Instagram: workwith_thechosenone [link removed] Facebook: The Chosen One [link removed] Do you love creating mobile first content on social and digital for brands? Do you love working with a flexible and talented Design and Production teams? Do you love taking the lead in digital art direction and creating for awesome brands? We're looking for a Creative Strategist who will: Able to plan a Creative Strategy & communication next steps that answers and positively impacts your client's Business / Social Goals Able derive a Creative Strategy from your client's Business / Marketing / Social goals that is highly visual Able to provide creative next steps through the combination of, social media research and paid media performance, before delivering your creative plan / content Able to project manage and map out internal timelines alongside client timelines Able to project manage and map out client timelines alongside Able to provide effective inputs within internal discussion to ensure Creative Strategy is highly visual and impactful Able to provide effective inputs externally with clients to ensure Creative Strategy is highly visual and impactful Able to plan for production work to answer to social goals, creative goals, and business goals Able to show channel nativeness within creative ideas, copywriting, formatting and execution Able to present and communicate with confidence Able to present and communicate with clear logic and derives to a convincing solution Able to handle work amount at standard and maintain a retention rate. Able to identify business opportunities from ongoing work with your clients that can potentially lead to campaign improvements or service upsells/cross-sells based on your discussionsQualifications Bachelor's degree in Marketing, Media or related field 2+ year of working experience in Account Executive , Creative Strategy , Content Creator, or Social Media Content. Experience in Digital Creative Agency, Digital Advertising, Digital Creatives and Branding, or Social Media Agency industry Strong English Skills is a must! The Chosen One Agency: Always on performance review - crushed your milestones? Let's review. Work From Home - Before and After COVID Young fast-paced team - Learn, train, make mistakes and grow together. Agency experience is a bonus* Contact : The Chosen One 141 Major Tower, 8th Floor, Soi Thonglor 10, Sukhumvit 55Sukhumvit Rd., Klongton Nua, Wattana, Bangkok, Thailand 10110","Advertising,Arts & Media"
film editor/ช่างตัดต่อภาพยนต์,"PRAKET FILM CO., LTD.","Mueang Samut Prakan, Samut Prakan",Editing & Publishing,Full time,,,"- รับผิดชอบการวางแผนงานผลิดสื่อ - รับผิดชอบการถ่ายภาพนิ่งและภาพเคลื่อนไหว - รับผิดชอบการบันทึก/ตัดต่อภาพนิ่ง/วีดีโอและเสียง - สามารถจัดแสงถ่ายภาพ และวีดีโอ - สามารถตัดต่อ แต่งภาพ ด้วยโปรแกรม Abobe ได้ - สามารถออกแบบงานกราฟิกเบื้องต้นได้ - รับผิดชอบงานด้าน Graphic, Multimedia ผลิตชิ้นงานต่างๆ สำหรับใช้ในสื่อโฆษณาประชาสัมพันธ์ และการตลาดออนไลน์","Advertising,Arts & Media"
Senior Data Analyst (MRT Samyan),Storylog Company Limited (Head Office),Bangkok,"Media Strategy, Planning & Buying",Full time,,,"Job Summary: We are looking for a Data Analyst with at least 3 years of experience familiar with business & data analysis in any related roles. He or she should have passion working in tech start-up companies. It would be a big plus if he or she love reading either E-book or Online Novel platforms. If you're interested to discuss further, please click 'Apply Now' and let's chat :) What you'll do: Collaborate with the product development team to define key performance indicators (KPIs) and establish data collection processes to track and measure product success. Analyze large datasets using statistical methods, data mining techniques, and visualization tools to uncover actionable insights that guide product development decisions. Conduct in-depth analyses of user behavior, customer feedback, and market trends to identify opportunities for product improvement and innovation. Develop and maintain interactive dashboards, reports, and visualizations to present data-driven insights to stakeholders, including product managers, designers, and engineers. Work closely with cross-functional teams to provide data-driven recommendations on product features, user experience enhancements, and performance optimizations. What we're looking in you: Bachelor’s degree in Engineering, Computer Science, Marketing, Mathematics, Statistics related field. At least 3-5 years experience in data analyst, data engineer, software engineer or business analyst Proficiency and experience with SQL querying is a MUST HAVE. Experience with data visualization tool (e.g. Google data studio, Microsoft Power BI, Tableau) Ability to work as part of a team or individually on a project. Ability to communicate and present idea clearly, both written and verbal Ability to work well under pressure. Must be proactive, demonstrate initiative and be a logical thinker. Good command of English both written and spoken. Benefit package: Free Lunch Flexible working hours. 90% Work from home Diligent Allowance 12 days Vacation Leave Medical Allowance, Life and accident Insurance, Health Screen Program Provident Fund Training and Development Program Company Trip Bonus Office Location : 'Samyan Business Town' only 550 meters away from MRT Samyan Easy for commuting and really really close to famous & delicious restaurants haha.. Click for Google Map Location [link removed] Websites: https://fictionlog.co/ [link removed] https://www.tunwalai.com/ [link removed] https://pintobook.com/ [link removed]","Advertising,Arts & Media"
DATA ANALYST & SOCIAL MEDIA,"SHOWNOLIMIT CO., LTD.","Phra Khanong, Bangkok","Media Strategy, Planning & Buying",Full time,,,"คุณสมบัติผู้สมัคร วุฒิการศึกษาระดับปริญญาตรีขึ้นไป มีประสบการณ์การทำงานทักษะการวิเคราะห์ การใช้โซเชียลมีเดียต่างๆ อย่างน้อย 1 ปีขึ้นไป อาทิ Facebook, YouTube, Twitter, TikTok และอื่น ๆ สามารถนำเสนอ และวิเคราะห์ข้อมูลธุรกิจ และคู่แข่งได้ วิเคราะห์เหตุและผลรวมถึงความน่าจะเป็นที่จะเกิดขึ้น สามารถสื่อสารทั้งด้านการพูด, การนำเสนอ presentation ได้อย่างมืออาชีพ, มีบุคลิกที่ดี และมีทัศนคติที่ดี มีความรับผิดชอบสูง สามารถรับแรงกดดันได้ดี สนับสนุนงานของบริษัทฯ อย่างเต็มกำลังและความสามารถ มีใจในการทำงาน และมีความสุขกับงานที่ทำ รายละเอียดงาน สามารถปรับตัวเข้ากับสถานการณ์ในการทำงานได้ดี บริหารจัดการดูแล Social Media ทุกแพลตฟอร์มที่ได้รับมอบหมาย วิเคราะห์ข้อมูลเชิงลึกหลังบ้าน Social Media และวางแผนการโพสต์ Content ในช่วงเวลาที่เหมาะสม วิเคราะห์ทิศทางของเนื้อหาจาก Tools ที่มี พร้อมนำเสนอข้อมูลเหล่านั้นต่อฝ่ายอื่นๆ ให้คำแนะนำในการทำ Content หรือช่องทางการสื่อสารให้มีศักยภาพมากขึ้น สร้างโฆษณา และดูแลบัญชีโฆษณา บนโซเชียลมีเดียแพลตฟอร์มต่าง ๆ ให้ถูกต้องและครบถ้วน นำเสนอและอัปเดตเทรนด์ของโซเชียลมีเดียต่าง ๆ อยู่เสมอ","Advertising,Arts & Media"
Head of Media Sales,Rabbit Care Company Limited,"Sathon, Bangkok","Media Strategy, Planning & Buying",Full time,,,"Location: Bangkok, Thailand Company: Grow Agency, a Rabbit Care venture About Grow Agency: Founded in 2013, Grow Agency is a top-tier digital marketing agency in Thailand and a key player within the Rabbit Care portfolio. Specializing in comprehensive marketing strategies, the agency is known for its expertise in brand awareness, lead generation, and a strong track record of client satisfaction and innovation. About the Role: In this role, we are seeking a highly experienced digital media sales professional. The selected candidate will have the vital responsibility of supervising our team of account managers, utilizing their own network for new client engagements, and spearheading sales efforts independently. This position requires a blend of strategic thinking, leadership skills, and hands-on sales prowess. Key Responsibilities: Leadership: Mentor and manage the sales team, setting objectives and tracking performance. Business Development: Use personal networks to identify new business opportunities and expand the agency's client base. Sales Strategy: Develop and implement effective sales strategies to achieve and surpass targets. Client Relationships: Forge strong relationships with clients, understanding and fulfilling their marketing needs. Market Analysis: Stay up-to-date with market trends, adapting strategies to maintain a competitive edge. Interdepartmental Collaboration: Work alongside marketing, creative, and strategy teams to deliver cohesive and effective client campaigns. Qualifications: At least 5 years of senior-level experience in digital media sales. Established network in the digital marketing industry. Proven leadership and team management skills. Strong communication abilities, with proficiency in English and Thai. Insightful knowledge of the Thai market and consumer behaviors. Benefits: Competitive salary Provident fund One day work from home per week Premium health insurance 10 days of annual leave Why Join Grow Agency? Be part of a vibrant team within Rabbit Care, a leader in innovative marketing solutions. Opportunity to work on diverse and groundbreaking marketing campaigns. Significant opportunities for professional growth in a leading digital marketing agency. Application Process: Open exclusively to Thai nationals. Due to the high volume of applications, only shortlisted candidates will be contacted. Related Positions: Business Development, Partnerships, Sales Representative, Sales Development, Sales Executive.","Advertising,Arts & Media"
Paid Media Specialist (Facebook & Google Ads)/ผู้เชี่ยวชาญการตลาดดิจิทัล...,The Chosen One Agency,"Vadhana, Bangkok","Media Strategy, Planning & Buying",Full time,30000.0,44999.0,"The Chosen One Agency We are always looking to connect with likeminded high performers. Whether you see something that fits, or if you simply would like to connect, feel free to reach out below! Check Out Our Website [link removed] Instagram: workwith_thechosenone [link removed] Facebook: The Chosen One [link removed] The Chosen One Agency กำลังมองหา Paid Media Specialist ที่มีใจรักในการวางแผนและจัดการมีเดียเคมเปญของตัวเอง สร้างยอดขายและ Postive Impact ต่อธุรกิจของลูกค้า และสร้างความสัมพันธ์ที่ยั่งยืนระหว่างตนเองและลูกค้าที่รับผิดชอบ สามารถ Plan, Set Up, Optimize และ Report แคมเปญของตัวเองบน Google และ Facebook Ads ได้อย่างมีประสิทธิภาพ ประสานงานโดยตรงกับมีเดียทีมภายในและลูกค้าในการขึ้นหรือ Optimize แคมเปญตามวัตถุประสงค์ทางธุรกิจ/การตลาดของลูกค้า มีประสบการณ์ในแคมเปญแบบ Lower Funnel หรือ Performance Marketing มีประสบการณ์ในการ Set Up Tracking และ Optimize แคมเปญสำหรับ Conversion Objective เช่น Website Purchase, Leads Generation และอื่นๆ ตาม KPI ของลูกค้า มีประสบการณ์และชอบในการคิด Ad Creative และสามารถเขียน Ad Copy ของตัวเองได้อย่างสร้างสรรค์และเห็นผล ชื่นชอบในการสร้าง Report และวัดผลการตลาดดิจิทัลตาม Channel ของตัวเอง และสามารถอธิบายนำเสนอลูกค้าให้เข้าใจง่าย มีประสบการณ์และให้ความสำคัญกับการสื่อสารทั้งภายในทีม และกับลูกค้าที่จะได้ Result เชี่ยวชาญในการศึกษาและวิเคราะห์ Raw Data เพื่อวางแผนกลยุทธ์การตลาดดิจิตัลจากข้อมูล Insights และ Learnings ที่ได้รับ สามารถสื่อสารภาษาอังกฤษ อย่างดีเยี่ยม และมีทักษะการสื่อสาร ประสานงานที่ดีเยี่ยม *** EXTRA CONSIDERATION: หากมีประสบการณ์ Agency จะพิจารณาเป็นพิเศษ English is a Must! Always on Performance Review","Advertising,Arts & Media"
Account Executive / Senior Account Executive,Prakit Holdings Public Company Limited,"Phra Khanong, Bangkok",Art Direction,Full time,,,"Job Descriptions Serve clients in terms of marketing and advertising supports in order to build clients’ brands in the market successfully. Day-to-day management of clients’ marketing and advertising campaigns. Co-operate both internal and external parties to complete services. Ensure timings are kept and next steps are carried out. Present effective marketing and advertising support activities to clients. Evaluate and report result of marketing and advertising support activities as well as movement of competitors to clients. Communication daily with clients to ensure client’s need and expectations are met. Building and maintaining good relationship with clients. Keep track of financials and budgets of the projects. Qualifications: At least 1-2 years experienced in Advertising Agency. Experience in the management of brand building, IMC campaign , Online campaign and digital driven IMC campaign. Strong managerial skills especially people management and leadership. Pleasant personality and service mind and customer relations oriented. Strong communication and presentation skill. Good Command of  spoken and written both English and Thai.  (able to communicate in Chinese preferred) Computer Literacy. (MS word, MS excel, MS PowerPoint) Location: BTS Bangchak / Sukhumvit 62","Advertising,Arts & Media"
Digital Marketing Specialist (Media Planner),"Skilllane Education Co., Ltd.","Bang Rak, Bangkok","Media Strategy, Planning & Buying",Full time,,,"The role in brief : As a Digital Planner, you have to understand that digital marketing is the combination of art and science that provides great values, helps to represent our customer voice and develops the key strategic insights to achieve our business goals. You are specialist in media plans across digital channels. You help formulate a brand communications strategy, followed by the creative brief that will be used by the graphic and production teams to produce the creative ideas. Responsibilities : Help planning and developing digital marketing campaigns in accordance with business objectives, and the right communications strategy for the target audience. Coordinate the implementation of digital media plans and monitor online channels. (website and social media, e.g., Facebook, Twitter, Instagram, etc.) Support the campaign process, including briefing and enthusing creative teams, and preparing feedback in response to consumer findings. Work closely with the Graphic Designer to create high-performing campaign materials. Prepare reports on the effectiveness of campaigns. Coordinate digital/offline campaigns with internal teams and external partners, e.g., instructor, KOLs etc. Support general marketing tasks, e.g., team presentations, scheduling meetings, processing the documents etc. Maintain up-to-date knowledge of the industry’s best practices, strategies, and offerings around digital marketing strategy. Characteristic : This role requires strong analytical and implementation skills, as well as the ability to collaborate and communicate well. Well organized with strong analytical, strategic thinking and problem-solving skills Highly numerate and able to understand complex and varied sources of data and statistics Fast Learning and Self-Motivated, always asking questions and looking for new insights from information Team player, fascinated by human, social trends, cultures and how ideas influence people Growth mindset, always spotting trends and curious about new ideas Ability to work under tight time constraints and manage multiple projects across several products/services simultaneously Comfortable with using technologies (we are tech company and run our entire company with tools like Slack, Monday and many more) Qualification: 1-3 years of experience in digital marketing related fields with strong portfolios (eCommerce experience is a plus) Bachelor’s degree in communication art, advertising, marketing, business or a related field and/or relevant years of experience Excellent communication with an ability to engage messages across multiple channels and marketing tools. Having a knowledge of digital marketing strategy, social media marketing (mainly Facebook & Google Ads) is a plus Writing creative, succinct, and engaging copy is a plus Proficient in basic tools like Words, Excel, Powerpoint / Sheet, Doc, Present Work location: Near BTS Saint louis More info : 061-419-0701 (Team People)","Advertising,Arts & Media"
