Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
AR/AP/ GL/ Inventory and Fixed Asset,"Siam Motors Co., Ltd. (Siam Music Yamaha Co., Ltd.)","Pathum Wan, Bangkok",Accounts Receivable/Credit Control,Full time,,,"Positon take care of  AR and Credit Control Job : - Daily checking bank statement - Issue receipt and send to customers -  Additional issue invoice and/or credit note - Daily prepare supporting documents for cash inflow report of each banks - Issue Invoice to Oversea and Domestic - Receive in system for staff salary deduction - UPC Collection (Billing statement + Follow up + Sending mails) - Daily check and unlock Hold (C1) - Set up AR master file -  Monthly AR aging report GL - GL _ Cheque on hand , AR Overall , Allowance of bad debts , Customer Deposit - GL _ Suspend Output VAT - Sending documents to dealers (receipts and etc.) - Any jobs assign by supervisor / manager Position take care of AP job : - Daily checking bank statement - Issue cheque / transfer for payment vendors (local / oversea) - Check document and pay petty cash - Record payment in JDE system - Reconcile cash on hand and all documents - Forecast cash out by weekly - GL _ Control Suspense Input VAT report - Set up AP master file - Any jobs assign Position takecare Inventory and Fixed Asset job : - Responsible for Inventory and fixed asset management - Update the list of fixed assets in the system and control file correctly and timely - Conduct periodic physical count of fixed asset / Inventory and summarize count report - Coordinate related actions to Inventory and fixed asset e.g. sale, transfer, write-off including approval document - Prepare monthly Inventory/ fixed asset register and product register - Monthly Inventory / fixed asset register and reconcile - Perform monthly accounting closing in the part of Inventory / fixed assets."
Accounting Officer,MFEC Public Company Limited,"Chatuchak, Bangkok",Taxation,Full time,,,"Position: Accounting Officer Work Hours: Monday-Friday 09.00-18.00 Location: BTS Mochit MRT Jatujak What We want Handle full set of accounts, month end closing and daily operations. Handle monthly tax compliance works which include, but not limited to, preparing VAT return (PP. 30, 36) and withholding tax returns (PND.3, 53, 54) for submission to the Revenue Department, preparing required tax report/certificate, etc. • Reconcile financial transactions and prepare the related financial reports such as Payment transaction, Bank Statement, financial statement, daily and monthly report etc. • Financial statement Analysis • Others job as assigned by supervisor Who are looking for • Have experience at least 2-5 years in Finance and Accountant • Preferably in Microsoft Office, especially in MS Excel such as VLOOKUP, Pivot or Navision, Express • Knowledge in tax and compliance is a plus • Experience to working with startup company will be advantage • Can start working immediately will be advantage (If any)"
Financial Operations Manager,Private Advertiser,"Pathum Wan, Bangkok",Financial Accounting & Reporting,Full time,,,"DUTIES AND RESPONSIBILITIES • Plan, manage and supervise. The work of the Cashier (Back & Front) team is consistent with work standards. The time period is specified in the SLA and corporate policy. • Take care of applying for EDC machines and support, coordinating with those involved in solving problems on site, such as EDC machine failures, supervising, controlling, procuring, registering and coordinating the installation of POS machines. • Coordinate with various relevant agencies including tenants. Regarding revenue collection and report sales and assign work to subordinates • Inspect, maintain, improve, or add to and communicate work procedures Various work regulations of the team always up to date • Analyze problems and obstacles. and coordinate with relevant agencies in developing and improving Various work processes Have a working format efficient and effective • Support planning and preparation of development plans for subordinates. and evaluate work performance to develop employees' potential • Support the preparation Budget in your own agency • Perform tasks as assigned by supervisors. JOB SPECIFICATION Education and Experience: • Educational qualification: Vocational Certificate or Associate Degree or higher. • More than 8 years of working experience in the financial field, knowledgeable about accounting and cashier systems. • Have experience working in the service business. • Able to use basic computers well such as Microsoft Office, Oracle/SAP and POS systems. Required Skills/Abilities: • Be honest. Careful in details Have high responsibility for assigned work Dedicated to the assigned work and can work under pressure • Have leadership skills and be able to solve immediate problems well. • Have experience in dealing with large numbers of people or have previously managed the finance department in a department store."
พนักงานบัญชี,Central Group (Supporting Unit),"Bang Rak, Bangkok",Accounts Receivable/Credit Control,Full time,,,หน้าที่และความรับผิดชอบ บันทึกข้อมูลทางการเงินตามระบบของบัญชี จัดทำบัญชีรายรับ-รายจ่าย จัดทำใบแจ้งหนี้ ทำใบกำกับภาษี หนังสือภาษีหัก ณ ที่จ่าย ตรวจสอบเอกสารการบันทึกบัญชี งานอื่นๆ ตามที่ได้รับมอบหมาย คุณสมบัติ ปริญญาตรี สาขาบัญชี และ สาขาการเงิน สามารถใช้โปรแกรม MS-Officer ได้ดี ยินดีรับพิจารณานักศึกษาจบใหม่
Cost Planning Officer (1 Year Contract),"Denso Sales (Thailand) Co., Ltd.","Bang Bo, Samut Prakan",Accounts Receivable/Credit Control,Contract/Temp,,,"- Support Purchasing price calculation to Marketing & Production company (local & oversea group company) - Support Monthly Standard Cost maintenance to accounting - Making Summary report related to Cost issue; Cost plan, Monthly data checking, Retroactive data - Other job assignments Qualifications: - Bachelor's Degree in any related fields - Good Communication & Co-ordination skill - Pro-Active & Supportive mindset - Good English communication; TOEIC score 400-500 - Can use Excel; Basic formulas & Pivot table, O365 Email"
Account Assistant,Expro Overseas Inc.,Bangkok Metropolitan Region,Assistant Accountants,Full time,,,"Job Description Prepare and process vendor payments Prepare sales orders and invoices and send invoices to customers. Follow up with customers to ensure timely receipt of payment Process accounts and incoming payments in compliance with financial policies and procedures Reconcile vendor and accounts receivable ledger. Investigate and resolve discrepancies. Discuss with internal departments, vendors or customers where required. Provide general administrative support to finance team and carry out the administration duties including the preparation and distribution of correspondence, coordination of incoming and outgoing mail."
ตำแหน่งพนักงานบัญชีต้นทุน  (ประจำโรงงานบางบัวทอง จ.นนทบุรี),"S & Sons Trading Co., Ltd.",Nonthaburi,Taxation,Full time,,,"ลักษณะงาน : - ทำบัญชีต้นทุน , จัดทำเอกสารทางบัญชี ลงบัญชี ตรวจสอบสินค้าคงคลัง ติดตามและจัดทำข้อมูลทางการบัญชี คุณสมบัติ : วุฒิปริญญาตรี สาขาการบัญชี มีประสบการณ์ในงานบัญชีไม่น้อยกว่า2 ปี - มีทักษะในการใช้คอมพิวเตอร์ได้เป็นอย่างดี มีความละเอียดรอบคอบในการทำงานด้านบัญชี หมายเหตุ : ทำงานวันจันทร์ - เสาร์ หยุดวันอาทิตย์ เวลา 08.00 น. 17.00 น."
Senior Accounting Staff (Retail/Shopping Centre),CP Future City Development Corporation Ltd.,"Phra Khanong, Bangkok",Financial Accounting & Reporting,Full time,,,"Responsibilities : Receive bill placement and check all supporting documents such as invoices, quotation, Purchase requisition, Purchase order and others. Check budget and ensuring compliance with company policies, legal, and statutory requirements for all expenses and payment transactions. Record all Accounts payable transactions in accounting system and compliance with the chart of account. Check for all tax transactions such as withholding tax deduct at source, Purchase VAT. Handling all Payment transactions, follow up documents related to payments from suppliers and recording payment transaction in accounting system. Prepare and submit all taxes such as PND 1,3,53,54 and PP30. Review Accounts Payable and aging. Filing payment document by law/Tax regulation Prepare report for project spending transaction. Record Fixed assets transaction in GL. Ensuring accuracy and timeliness in payroll transactions. Check all bank out transaction in bank statement and reconcile for cashflow out. Monthly forecast out flow of cash. Maintaining accurate vendor master data. Participate in the month end and year end closing. To take up additional assignment as required to meet with company need as assigned Qualifications : Bachelor's Degree or above in Accounting Min. 5 years experience in Finance & Accounting Experience in Retail or Shopping Centre is preferable Good command of spoken and written English Experience in SAP is a plus Good supervisory skills, decision-making ability, effective communication, time management ability, and stress management ability. Capable to use Microsoft Office, Words, Excel, and PowerPoint *** All positions requited strong creativity, human relation and team working spirit. *** Prior experience in Real Estate or Retail business will be an advantage. The company offers successful candidate vary competitive remuneration and opportunity for growth. Please send your full English with a recent photo and expected salary: CP Future City Development Corporation (CPFC) (Applications will be held in strict confidence.) Only shortlisted candidates will be contacted"
Chief Accountant / Assistant Accounting Manager,"FOSS South East Asia Co., Ltd.","Khlong Toei, Bangkok",Financial Accounting & Reporting,Full time,,,"Position:              CHIEF ACCOUNTANT / ASSISTANT ACCOUNTING MANAGER FOSS Analytics is based in Denmark and has over 60 years of experiences in serving the Food and Agriculture Industries worldwide with quality analytical instrumentation and total solutions. We are looking for a Chief Accountant / Assistant Accounting Manager , reporting directly to Financial Controller of FOSS South East Asia based in Bangkok. Responsibilities: Support Finance Function to manage all aspects of financial accounting including account recording, verifying, reconciliation and detailing. Various duties including, but not limited to: AR & Cash collection AP & Payment Tax: Withholding tax, Value Added Tax Reconciliation all related accounts Data entry into Accounting Application Assist for month-end and year-end for ensuring compliance with accounting standards and regulations Any other duties that may be assigned Qualifications: Bachelor’s degree in accounting. 5-7 years of accounting experience in trading business especially to import/export with some experience in auditing is preferable English communication Honest and able to work with self discretion Good computer skill on Microsoft Office (especially excel) Good knowledge of Tax: Withholding Tax and VAT for domestic and oversea transactions Good knowledge of general accounting principles and regulatory standards. High level of efficiency, accuracy and responsibility. Benefits 5 working days with good salary package, Group insurance, Dental Fee, Provident fund, Performance Bonus, and more. Interested candidates are invited to send application with full resume (In English) indicating qualifications and experiences, expected salary and recent photo to the attention of Wanpen Nutasane. Email: Wanpen Nutasane wanu@foss.dk More information about FOSS can be found at: www.fossanalytics.com"
Head of Accounting Department/หัวหน้าส่วนบัญชี,"SIAMFOOD  (2513) CO., LTD.","Bang Rak, Bangkok",Taxation,Full time,,,"หน้าที่ความรับผิดชอบงาน โดยสังเขป จัดทำงบการเงินเดี่ยวและงบการเงินรวม จัดทำงบการเงินประจำปี เพื่อส่งผู้สอบบัญชี วิเคราะห์ งบการเงินประจำเดือน ประสานงานกับสรรพากร และผู้สอบบัญชี จัดทำภงด.51/50 ตรวจสอบรายงานภาษีซื้อ และภาษีขาย ตรวจสอบทะเบียนทรัพย์สินกับ GL คุณสมบัติ การศึกษาปริญญาตรีสาขาบัญชี  ขึ้นไป มีประสบการณ์ทำงานอย่างน้อย 8 ปีขึ้นไป มีประสบการทางด้าน ธุรกิจผลิต /โรงงาน มีมนุษย์สัมพันธ์ที่ดี  , ทำงานภายใต้ความกดดันได้ สวัสดิการ โบนัส ประกันชีวิต ค่ารักษาพยาบาล กองทุนสำรองเลี้ยงชีพ ลาพักร้อนประจำปี ทำงาน 5 วัน / จันทร์-ศุกร์"
"Accounting Assistant, Regional Finance Hub",Thai MM Limited,"Huai Khwang, Bangkok",Financial Accounting & Reporting,Full time,,,"Provides financial support to the hub and country offices, processing transactions, generating reports, compiling schedules and simple analysis. Full end to end Account Payable, Account Receivable function, including data processing, bank reconciliations Process Expenses claims for employees, including receipts / coding / internal compliance checking General Ledger / Cashbook upload / input Prepare Billing – generic (non-project specific) Compiling and reconciliation of schedules such as P&L, Balance Sheets, and any ad hoc schedules Provide advice to staff on project and overhead coding Follow mandatory process, procedures and policies Ad hoc accounts and administration duties as required What will you bring to the team Degree in Accounting, proficiency with excel, 2 - 3 years experience. Ability and willing to learn MM FIS/MIS systems and coordinate the system integration alongside the finance policies and procedures. This role will play a significant part in understanding the multiple system requirements in order to assist with the financial reporting. Good communication in English Attention to detail with a high degree of accuracy Implementing policies, systems, processes and procedures Organize, time management and ability to achieve deadlines Team player with the ability to communicate / report to peers / seniors Reliable and customer service oriented Result focused, energetic and enthusiastic"
Head of Accounting Department/หัวหน้าส่วนบัญชี,"SIAMFOOD  (2513) CO., LTD.","Bang Rak, Bangkok",Taxation,Full time,,,"หน้าที่ความรับผิดชอบงาน โดยสังเขป จัดทำงบการเงินเดี่ยวและงบการเงินรวม จัดทำงบการเงินประจำปี เพื่อส่งผู้สอบบัญชี วิเคราะห์ งบการเงินประจำเดือน ประสานงานกับสรรพากร และผู้สอบบัญชี จัดทำภงด.51/50 ตรวจสอบรายงานภาษีซื้อ และภาษีขาย ตรวจสอบทะเบียนทรัพย์สินกับ GL คุณสมบัติ การศึกษาปริญญาตรีสาขาบัญชี  ขึ้นไป มีประสบการณ์ทำงานอย่างน้อย 8 ปีขึ้นไป มีประสบการทางด้าน ธุรกิจผลิต /โรงงาน มีมนุษย์สัมพันธ์ที่ดี  , ทำงานภายใต้ความกดดันได้ สวัสดิการ โบนัส ประกันชีวิต ค่ารักษาพยาบาล กองทุนสำรองเลี้ยงชีพ ลาพักร้อนประจำปี ทำงาน 5 วัน / จันทร์-ศุกร์"
