Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Customer Service (Junior and Senior),"The Thai Silk Co.,Ltd. (Jim Thompson)","Phra Khanong, Bangkok",Administrative Assistants,Full time,,,"As a Customer Support Representative, you will be responsible for providing exceptional assistance and support to our valued customers. You will serve as the primary point of contact for addressing their inquiries, resolving issues, and ensuring a positive customer experience. Your main responsibilities will include. Key Responsibilities: Responding to Customer Inquiries. Troubleshooting and Issue Resolution. Providing Product Knowledge. Documentation and Generating a report. Providing a great Customer Advocacy. Maintaining a High Customer Satisfaction, Key Competencies: Knowledge : SAP Solution, Solution and Backend Design, Technical Blueprint Communication, Software Development Life Cycle, and Programming language would be highly beneficial. Skills : Project Management, and MS Office. Other Qualifications : Thinking conceptually and practically, Good Communication Skills, Problem Solving, Creative, and Collaboration with all job levels."
Administrative/เจ้าหน้าที่ฝ่ายธุรการ,AURORA DESIGN PUBLIC COMPANY LIMITED,"Bang Na, Bangkok",Administrative Assistants,Full time,,,"หน้าที่ความรับผิดชอบ ติดต่อประสานงานทั้งภายในและภายนอกองค์กร จัดการเอกสาร ไฟล์ต่าง ๆ ตรวจสอบข้อมูล ทำรายงานสรุปข้อมูลตามที่ได้รับมอบหมาย ประสานงานกับหน่วยงานที่เกี่ยวข้อง งานอื่น ๆ ตามหน้าที่ที่ได้รับมอบหมาย คุณสมบัติ เพศหญิง วุฒิการศึกษาปริญญาตรี สามารถใช้งาน Google Sheet/Microsoft Offiece เช่น Word, Excel, PPT มีความอดทน มีสมาธิในการปฎิบัติงานและสามารถทำงานร่วมกับผู้อื่นได้ มีมนุษยสัมพันธ์ดี มีความมั่นใจในตัวเอง ชอบเรียนรู้สิ่งใหม่ๆ มีทัศนะคติที่ดี ชอบ(คิด)บวกตลอด สามารถปรับตัวได้กับทุกสถานการณ์ มีความละเอียดรอบคอบ มีทักษะการสื่อสารที่ดี พูดจาฉะฉาน คล่องแคล่ว สามารถปฏิบัติงานในเชิงรุกได้ดี หากมีประสบการณ์ พร้อมเริ่มงานได้ทันทีจะพิจารณาเป็นพิเศษ"
HRBP Assistant (1-Year-Contract) at Samrong Site,FrieslandCampina (Thailand) PCL.,"Phra Pradaeng, Samut Prakan",Administrative Assistants,Contract/Temp,,,"HRBP Assistant (Talent Acquisition and Communication) Talent Acquisition and Communication Main Responsibilities: Organize job ads, searching and pre-screening for positions require. Coordinate with related parties for university road show. Be active on social media for company branding, also exploring for new sources of candidates’ pools Support end-to-end document required on recruitment process, esp. for staff at factory site (Samrong) Communication and Engagement Create artworks for both internal and external communication Create Clip Video to promote required mindset and engagement Coordinate to organize engagement activities Support to launch company engagement survey HR Administration Main Responsibilities: Check time attendant and OT in the system, also do report generation Organize training registration system, and keep tracking report Coordinate to check staff facilities welfare and do report i.e. Milk Welfare Support to create employee authorization in access control Support to create PR/PO in Coupa Qualification: Bachelor Degree in any related field Able to communicate in English Fresh Graduates are welcome Familiar with MS Offices, esp. Excel for HR Administration Services Minded Able to work at Samrong, Samutprakarn"
Personal Assistant - Company Secretary Office/ผู้ช่วยส่วนตัว...,"Yan Wal Yun Corporation Group Co., Ltd.","Sathon, Bangkok","PA, EA & Secretarial",Full time,,,รายละเอียดงาน 1. ติดต่อประสานงานทั้งภายในและภายนอกองค์กร 2. บันทึกรายงานการประชุม ติดตามงานจากหน่วยงานต่างๆที่ได้รับมอบหมาย ต่อเนื่องจากการประชุม และรายงานผล 3. เป็นผู้ติดตามในการประชุมหรือเดินทางไปนอกสถานที่ รวมถึงดูแลความเรียบร้อยและอํานวยความสะดวกแก่ผู้บริหารในการทํางานต่างๆ 4. จัดการตารางการประชุมและกิจกรรมที่เกี่ยวข้อง (Google Calendar) 5. ช่วยจัดการ เตรียมการ และช่วยเหลือในงานที่กำลังทำอยู่ อาทิเช่น งานการเดินทาง  สามารถจองตั๋วเครื่องบิน/โรงเเรม หรือ แจ้งเตือนตารางงานที่ต้องทำ) 6.สามารถขับรถยนต์ได้ และมีใบอนุญาตขับขี่รถยนต์ 7.งานอื่นๆ ที่ได้รับมอบหมาย
Human Resource Director/ผู้อำนวยการฝ่ายทรัพยากรบุคคล,"S.Ruamthai Co., Ltd.",Samut Sakhon,Administrative Assistants,Full time,70000,119999,"Job Description and Responsibilities: - Work closely with the management team to plan and implement HR strategies, ensuring that they are aligned with business objectives. - Develop HR systems, performance management, salary structures, compensation and benefit reviews, and recruitment and selection processes. - Provide strategic guidance on HR aspects, such as employee relations, labor laws, employee engagement, and succession planning. Ensure that HR policies comply with government rules and regulations. - Support management by providing human resources advice, counsel, and decisions; analyzing information and applications. - Collaborate with business leaders and other team members to assess organization development opportunities and design human performance solutions that achieve business outcomes. Qualifications: - Bachelor's or master’s degree in Human Resources Management or a related field - At least 10 years of experience in HRM and HRD, with at least 5 years at the management level - Business-minded, strategic HR business partner with a good knowledge of new HR tools and processes - Ability to work independently, friendly, open-minded, proactive, results-driven, and a role model for people management - Excellent organizational and leadership skills with the ability to motivate cross-functional individuals and teams - Fluent in Thai and English with the ability to work abroad - Extensive HRM experience in the manufacturing industry Preferable Skills/ Experiences: - Working experience in a Vietnamese company - Previous experience in Human Resources Management within a food and beverage company is preferable. - HRBP experience Languages skills: English : Conversational Level Vietnamese : a plus."
Project Coordinator/Secretary/ประสานงานโครงการ/เลขานุการ,Asia Sermkij Leasing Public Company Limited,"Vadhana, Bangkok","PA, EA & Secretarial",Full time,,,"Duties & Responsibilities Secretary to SVP to assist / follow-up to all assignments such as appointments, coordination and etc. Supervise general administration and review for all documentations such as Quotations, Tendering, LOA, LOI, Contracts. (no need experience) Prepare and Payment claim, etc. by consultants and contractors. (no need experience) Track and follow up all incoming & outgoing documents. Assist in preparing all paper works, presentation, report, etc. Arrange a meeting, coordinate with consultants, contractors, management, and others. Coordinate with multi-department to support the activities of the department. Assist the project management team. 9. Support office administration on a day-to-day basis. Qualification: Bachelor's degree Around 4-7 years of experience in Project Coordinator/Secretary. Proficient in Microsoft Office (Word, Excel, PowerPoint, Outlook) Fluent in Thai, proficient in English with TOEIC 700 Good analytical skill, effective communication and interpersonal skills. Work location : Near BTS Interest applicants please submit full resume with current salary, expect salary and recent photograph to Human Resources Department Asia Sermkij Leasing Public Company Limited Bangkok Grand Pacific Lease Public Company Limited Sathorn City Tower, 24th Floor, South Sathorn Road Thungmahamek, Sathorn, Bangkok 10120 Contact   Khun Pornpim at 02-6796262 Ext 1419 ,  ID Line : poysamasiri Website : www.ask.co.th"
Parts Advisor,Tesla (Thailand) Limited,Bangkok,Administrative Assistants,Full time,,,"What to Expect Tesla Motors is looking for an experienced Parts Advisor to work on one of the most progressive vehicle brands in the world. This position requires a significant amount of customer interaction, so the ideal candidate will not only possess the customer service acumen, but also the ability to provide a basic level of technical support service.  If you are interested in becoming a part of a world class service team supporting the latest EV technology, we are interested in hearing from you. What You’ll Do Receive stock, pick, ship and transact materials inventory to support the needs of vehicle service. Accurately record parts transactions and data into Dealer Management System – attention to detail critical. Conduct transactions w/ systems; walk customer through order and provide summary. Escalate any issues that need to be addressed to correct any inbound packaging issues from our internal and external suppliers. Maintain records of time, expenses, and materials. Communicate estimated parts ship and arrival time, including regular updates. Follow up with customer on parts order and ensure complete satisfaction with the order. Perform other related duties as assigned. Help maintain cleanliness of service center. Effectively handle multiple priorities, organize workload, and meet deadlines. What You’ll Bring Degree or Certificate from a University program in Automotive Technology a plus or the equivalent in experience and evidence of exceptional ability Methods, techniques, parts, tools and materials used in the maintenance and repair of vehicles. Understand in basic automotive techniques related to repair and servicing of automobiles. Automotive equipment and servicing methods. Dealer Business Process and Best Practice. DMS Systems, SAP, MS Office Suite. 1-3 yrs experience in the automotive industry 2-5 years material service and distribution experience. Excellent oral and written communication skills as well as the ability to follow instructions required. Good Communication skills in both English and Thai Ability to establish and maintain cooperative working relationships with those contacted in the course of work, including the public. Maintain and perform top level professional integrity and appearance as a parts advisor."
Human Resources Assistant,American Embassy Bangkok,"Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"The Embassy’s recruitment system is changed. You are required to create an electronic recruitment application (ERA) account to apply for jobs with the U.S. Mission in Thailand. A resume from other websites is not essential for job application. กรุณาสมัครงานโดยการสร้างบัญชีออนไลน์ของท่านผ่าน เว็บไซต์ ของสถานทูตสหรัฐอเมริกา มิฉะนั้นใบสมัครของท่านจะไม่ได้รับการพิจารณา U.S. Mission in Thailand is now offering a great employment opportunity with attractive compensation and good working hours for the right candidate. Vacancy announcement no. / title Bangkok-2024-003 / Human Resources Assistant LOCATION: Bangkok SALARY : Starting from TH฿529,641per annum WORK HOURS: 40 hours per week CLOSING DATE: January 11, 2024 BASIC FUNCTIONS REQUIRED: The Diplomatic Accreditation and Privileges (DAP) Assistant is a member of the Diplomatic Accreditation and Privileges team under the DAP Human Resources Assistant in the Regional Human Resources Office (RHRO).  The Assistant will work with the Supervisor to process stay permits, re-entry permits, extension of stay permits, and diplomatic identification cards for all Mission Thailand American personnel.  Duties include: preparing documents and diplomatic notes; liaising with low-mid level of Royal Thai Government officials (RTG) on matters related to privileges and immunities, work permits, spousal employment; and act on behalf of personnel to communicate with the Immigration Division, clarifying any questions, requests or special assistance required by Thai officials. QUALIFICATIONS REQUIRED: (1) Education: Completion of College or university studies (At least two years of full time, post-secondary study at college or university) is required. (2) Experience: At least two years of experience in administration or secretarial field is required (Please provide full information in the Main Duties and Responsibilities box. Resume and CV are not acceptable ) . (3) Language: (This may be tested): Good Working Knowledge of English and Thai (speaking/reading/writing) is required. Please clarify level of your THAI and ENGLISH language skills. You are Completion of College or university studies that is conducted by the Regional Human Resources Office, or submit a copy of valid TOEIC score (Listening and Reading Section) of at least 600 with your application. (4) Skills (This may be tested): Ability to operate Microsoft Office products including MS Word, MS Excel and MS PowerPoint is required. Advanced interpersonal skills are necessary. Must be well-organized and able to work independently under pressure. Must be accurate with paperwork, documents, information, and details. BENEFITS: Bonus, Life Insurance, Health Insurance, Leaves, Holidays TO APPLY: Please follow the checklists and submission guidelines, posted on the official website carefully. You have to create an online account on the U.S. Embassy, Bangkok websiteto apply for jobs. Failure to follow the instructions will invalidate your application. กรุณาสมัครงานโดยการสร้างบัญชีออนไลน์ของท่านผ่าน เว็บไซต์ ของสถานทูตสหรัฐอเมริกา เท่านั้น มิฉะนั้นใบสมัครของท่านจะไม่ได้รับการพิจารณา"
Admin Support Executive (Logistic)/Admin Support Executive (Logistic),"NITORI LOGISTICS (THAILAND) CO., LTD.",Samut Prakan,Administrative Assistants,Full time,20000,24999,・Responsible for internal system operation required for warehouse and delivery operations on PC. ・Handle customers' calls and enquiries on delivery operations. ・Liaise with delivery staff/stores on delivery operations. ・Communicate and coordinate with partner company. ・Provide daily administrative and operational support to the department. ・Perform ad-hoc tasks as assign by Management from time to time.
Receptionist (1-Year Contract),"Denso Sales (Thailand) Co., Ltd.","Bang Bo, Samut Prakan",Administrative Assistants,Full time,20000,24999,"Job description : -Receive and manage phone calls (Transfer calls, send call notes to specified recipients) -Welcome visitors and take care of overall company's lobby -Responsible for air ticket bookings -Responsible for hotel reservations -Proceed any tasks regarding general affairs assigned by superiors Qualifications : -Bachelor's Degree in any related fields -Fluent in English (TOEIC score equivalent to 550 points up) -Service-minded and positive -Pleasant personality, confident and highly responsible -new graduate are welcome"
Project Coordinator / Project Management Office (PMO),BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,"Chatuchak, Bangkok",Administrative Assistants,Full time,,,"Responsibilities : Coordinate to set up BU annual budget, monitor and reconcile utilization. Process reimbursement and payment. Prepare non - disclosure Agreements with legal department. Prepare supplier and consult / advisor agreements with legal department. Prepare and analyze complex trends and status reports. Prepare documents and file, process, track, and maintain document. Collect and draw data from a variety of sources. Coordinate with related parties, arrange, and reserve meeting venue, travel arrangements. Coordinate event planning and execution. Coordinate, manage and follow up assignments with internal and external parties. Handle special projects as assigned. Qualifications: Aged 27 - 35 years At least 3 years direct experience in business coordination or project management office (PMO) Bachelor's degree or higher in business related fields Proficiency in Word, Excel, and PowerPoint Excellent presentation and English communication skills Strong interpersonal skills and good teamwork capabilities Able to work cross - functionally Self - motivated, service - minded, well - organized, and result - oriented A fast learner, logical, proactive, and flexible to change and travel Proficiency in Chinese (optional)"
