Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Production Comtrol and Import Export,"AIR SYSTEMS (THAILAND) CO., LTD.",Chon Buri,Import/Export & Customs,Full time,,,"รายละเอียดงาน 1.Production Plan and control Delivery achieve customer requirement 2.Material Planning and follow up 3.Inventory Control 4.Import-Export & BOI 5.Working by superior assignment คุณสมบัติผู้สมัคร High vocational or bachelor degree on related field. 2-4 Years experience in Production Control or Material Control include Inventory Control Experience PD Plan and control to delivery achieve customer requriment Material planning and follow up Good discussion , Negotiation , Information Leadership and Good command in English Knowledge BOI and import Export"
Procurement Supervisor,"Taniobis Co., Ltd.","Mueang Rayong, Rayong","Purchasing, Procurement & Inventory",Full time,,,"Duties and responsibilities Managing all PR especially for Production process / New investment projects, converting to PO and sourcing new supplier (Local and oversea) PO Processing by sourcing both of local and oversea for serve the good services and better alternative, comparing price, selecting supplier in order to provide the goods and services in order to meet end user’s requirements (timing, best price and payment term), Issuing PO and present to Department manager, Division Manager and MD for signing. Creating long term contract price of Aux material / Consumable / Critical parts and Services (Cost and time saving)/Cost saving for purchasing and Beneficial and Credit term negotiation. Creating long term contract price by asking estimate consumption from users, asking price quotation, comparing price, selecting supplier and issue frame PO or long-term contract or fix price from supplier. To negotiate with suppliers for the reasonable prices but still reflects the real situation of market and negotiate with suppliers to extend credit terms to 60 days according to company policy or at least 30 days for local suppliers and try to negotiate with oversea suppliers for credit term instead of advance payment. Follow up delivery from supplier for achieve delivery requirement and Reject /Claim issue Follow up and asking delivery by phone and e-mail and monitor supplier ‘s performance to deliver goods and services on time. Negotiating and set agreement with supplier for replacement or compensation should there be any reject/claim from users. Evaluating supplier performance (domestic and international) based on the quality of goods, delivery, price and services. Qualification Bachelor's degree or higher in Business, Science, Engineering, Communication, or other related fields Three or more years of progressively responsible positions in a Procurement Customer Service role, preferably in a manufacturing   or engineering environment Prior exposure to SAP or other ERP systems helpful Proficiency in spoken and written English Some Mandarin, Japanese, or German are helpful but not required. Specific Know-how Understanding of the international procurement process Able to negotiate firmly with suppliers, both verbally and in writing Knowledge of research resources (internet, publications, etc.) to seek new suppliers. Familiarity with analyzing technical specifications for specialized materials and equipment. Strong organizational and reporting skills. Sound understanding of ethical considerations involved with procurement."
เจ้าหน้าที่อาวุโส หรือ หัวหน้าส่วน Demand Planning,"Greater Pharma Co., Ltd.","Bang Phlat, Bangkok","Warehousing, Storage & Distribution",Full time,,,"รายละเอียดงาน เตรียม Sale Forecast แล้วส่งต่อให้หน่วยงานวางแผนการผลิต กำกับดูแลการรับ Order การตรวจสอบ Stock สินค้าคงเหลือ และติดตามกรณีสินค้าขาด Stock รับผิดชอบงานด้าน Customer Complain, Product Recall งานเอกสารและระบบคุณภาพภายในแผนก ติดตามตัวชี้วัดให้ได้ตามเป้าหมายของแผนก ปฏิบัติงานอื่นๆที่ได้รับมอบหมายจากผู้บังคับบัญชา คุณสมบัติผู้สมัคร ปริญญาตรี สาขาวิชาการจัดการโลจิสติกส์ หรืออื่นๆที่เกี่ยวข้อง สามารถใช้คอมพิวเตอร์โปรแกรม Microsoft Office ได้ดี มีประสบการณ์ทางด้านDemand Planning มาก่อน อย่างน้อย 2 ปีขีนไป มีความประสบการณ์เกี่ยวกับ ISO 9001:2015 และ GMP มีความขยัน อดทน ละเอียด รอบคอบ มีความรับผิดชอบ ตรงต่อเวลา"
Sale freight forwarder,"BLL LOGISTICS (THAILAND) CO., LTD.","Sathon, Bangkok",Import/Export & Customs,Full time,,,"Job Responsibilities: Have the ability presenting sales and close sale Provide advice, consultant and solve problem to customers Build relationships for maintain old customers. And open a new customer Responsible sales revenue to achieve the goal Work together with the team and coordinate with customer and other department Requirements: Bachelor's degree of marketing or related field Having an experience in sales, logistics, or freight forwarder at less 1-3 years Able to use MS Office Good communication, negotiation, presentation Good command in English and Chinese Welfare benefit 5 working day (Monday-Friday) Bonus (on performance of the Company) Social security Annual Check up CONTRACT: K. BOONTHUM BLL LOGISTICS (THAILAND) CO., LTD. TEL: 0818175575"
Storeman (6-month Contract),RS Group,"Yan Nawa, Bangkok","Warehousing, Storage & Distribution",Contract/Temp,,,"RS group is the global distributor with operations in 32 countries. We offer more than 700,000 products through the internet, catalogues and at trade counters to over one million customers, shipping around 50,000 parcels a day. Electrocomponents is listed on the London Stock Exchange FTSE 100 and in the last financial year had revenues of £2bn. Job Summary A store man loads and redistributes items in and out of a warehouse. They oversee moving and retrieving goods for shipping and restocking. Store man also needs to use electrical loading equipment to perform their jobs. Responsibilities Must understand and follow the operation instructions. Perform quality checks as outlined in the operation instructions. Must inspect incoming parts and outgoing shipments to ensure compliance with Quality standards. Assists supervisor to ensure incoming and outgoing shipment complete with required document e.g. match shipment with invoices, Delivery note, others etc. Must be able to operate all material handling equipment in an alert, safe and effective manner. Accurate input of all transaction’s related to inventory into excel or other format as required. Perform cycle & full count. Keeps records of materials flow to and from production function and manage to create reports. The job function listed is not exhaustive and shall also include any responsibilities as assigned by the Supervisor from time to time Qualifications Vocational Diploma or higher. 0-3 years related experience. have enough understanding and working knowledge of Personal Computer and understanding of inventory management computer system. Must be able to read and demonstrate an understanding of operator instructions. Effective verbal, listening and communication skills."
"Assistant Manager, Traffic / BOI",SVI Public Company Limited,"Mueang Pathum Thani, Pathum Thani",Import/Export & Customs,Full time,,,"RESPONSIBILITIES AND DUTIES: 1. To review, approve and dis-approve the qualification of Freight forwarders and Shipping agents and ensure the selected sources are the suppliers who will meet the delivery, quality and cost objectives. 2. To lead the negotiation with Freight forwarders and Shipping agents to obtain good competitive price towards the market condition. 3. To follow up for the shipments confirmation, and ensure the materials are delivered according to the commitment 4. To resolve the problems from the damage and lost of shipments. 5. To follow up for the bank guarantee refund. 6. To approve the billing of the freight, clearance charge, and other logistic expenses. 7. To assist Traffic officers to resolve the price discrepancy 8. To review and approve premium freight with justifications, and/or resolve it 9. To inform all concerns of the freight forwarders and market situations that are related to freight cost, lead time, government and airlines’ regulation changes. And lead to the actions 10. To improve the logistics supply e.g. supplier consolidation, shipment consolidation, new logistics locations. Etc. 11. To do the forwarders and shipping agent performance review and feedback them to improve towards the company objectives. 12. To drive the supplier development activities 13. To review and approve the supplier dis-qualification proposal and/or resolve it 14. To maximize the utilization of resources to achieve the higher productivity 15. To motivate his/her subordinates to achieve the Company’s goals and objectives 16. To perform other assignments per supervisor’s instructions 17. To feedback all potential problems encountered to supervisor and/or Director QUALIFICATIONS Education: Bachelor Degree Experiences: 10 Years Special Skills: Certified in Logistics or Purchasing is a plus. Inbound and Outbound shipments, BOI and Free Zone regulations are required. English communication is a must, a good presentation skill is preferred. Computer knowledge in Microsoft Window and e-Customs paperless software is required. SAP is a plus. Good knowledge of import - export procedures, Computer proficiency / Good command of English"
"Esports Management Associate (Esports, Marketing, Project Management)","Garena Online (Thailand) Co., Ltd./ Sea Thailand","Din Daeng, Bangkok",Management,Full time,,,"Job Descriptions Plan and design marketing strategy for Esports & Marketing activities. Manage overall content marketing, creative, planning and budgeting. Check over and make sure all aspects content marketing are run smoothly along Esports competition. Coordinate with regional/oversea esports management team. Coordinate and discuss with external stakeholders Oversee of esports community; Facebook page official, etc. Lead and manage esports team effectively with smooth communication Qualifications At least 1 years experience in marketing, marketing campaign, creative, project management Ability to use various marketing tools to analysis data and initiate content strategies that match with target customers Able to manage multiple projects and thrive in a fast-paced, dynamic and deadline-driven environment Strong passion in Esports, watching Esports tournaments Shooting game player is a huge plus! Excellent to Fluent in English communications Strong Communication and coordinate skills High energy, positive ""can do"" attitude, and results driven Ability to manage team"
Plant Manager,"IRPC POLYOL CO., LTD.","Mueang Rayong, Rayong",Management,Full time,,,"The role of a Plant Manager is a critical and leadership-oriented position responsible for overseeing the overall operations of the plant. Here are some key responsibilities and aspects of the role: Strategic Planning: Develop and implement strategic plans for the chemical plant in alignment with the company's overall objectives. Identify opportunities for growth, cost optimization, and efficiency improvements. 2. Operational Oversight: Ensure the efficient and safe operation of the chemical plant. Oversee production processes, quality control, and adherence to regulatory standards. Implement and monitor key performance indicators (KPIs) to assess and improve plant performance. 3. Safety and Compliance: Prioritize and enforce safety protocols to maintain a secure working environment for employees. Ensure that the plant complies with all relevant environmental and safety regulations. 4. Team Leadership: Lead and manage a diverse team, including production staff, engineers, and support personnel. Foster a positive and collaborative work culture, emphasizing teamwork and continuous improvement. 5. Budgeting and Cost Management: Develop and manage the plant's budget, including capital expenditures and operational costs. Implement cost-saving initiatives without compromising safety or product quality. 6. Maintenance and Asset Management: Oversee the maintenance of plant equipment and infrastructure. Implement preventive maintenance programs to minimize downtime and extend the life of assets. 7. Quality Control: Ensure that the products meet quality standards and specifications. Implement quality control measures and continuous improvement processes. 8. Communication and Stakeholder Management: Communicate effectively with corporate leadership, other departments, and external stakeholders. Represent the plant in interactions with regulatory agencies and community relations. 9. Technology and Innovation: Stay informed about advancements in technology and industry best practices. Identify opportunities for technological improvements and innovation within the plant. 10. Emergency Response Planning: Develop and maintain emergency response plans to address potential incidents or accidents. Coordinate with local authorities and emergency services as needed. 11. Environmental Sustainability: Implement environmentally sustainable practices and initiatives. Ensure compliance with environmental regulations and work towards minimizing the plant's environmental impact. A successful candidate needs a combination of technical expertise, leadership skills, and business acumen to effectively manage the complexities of the role. Additionally, staying current with industry trends and maintaining a commitment to safety and environmental responsibility is crucial."
Supply Clerk,American Embassy Bangkok,"Pathum Wan, Bangkok","Warehousing, Storage & Distribution",Full time,,,"The Embassy’s recruitment system is changed. You are required to create an electronic recruitment application (ERA) account to apply for jobs with the U.S. Mission in Thailand. A resume from other websites is not essential for job application. กรุณาสมัครงานโดยการสร้างบัญชีออนไลน์ของท่านผ่าน เว็บไซต์ ของสถานทูตสหรัฐอเมริกา มิฉะนั้นใบสมัครของท่านจะไม่ได้รับการพิจารณา U.S. Mission in Thailand is now offering a great employment opportunity with attractive compensation and good working hours for the right candidate. Vacancy announcement no. / title Bangkok-2024-010 / Supply Clerk LOCATION: Bangkok SALARY :Starting from TH฿382,668 per annum WORK HOURS: 40 hours per week CLOSING DATE: February 1, 2024 BASIC FUNCTIONS REQUIRED: This standard job description is for a Supply Clerk (Expendables) who manages the delivery, issuance, storage, disposal and inventory control of expendable supplies. The position is in the General Services Section and under the supervision of the General Services Office (GSO) Supply Supervisor. This position is characterized with providing support to medium size posts. This position is characterized as providing support to medium size posts with no Property Supervisor. QUALIFICATIONS REQUIRED: Education: Completion of High School is required. Experience: A minimum of two (2) years of experience in supply/warehousing/expendables or property/supply management is required. Language: Good working knowledge (Reading/Writing/Speaking) in Thai and English are required.  Please clarify level of your THAI and ENGLISH language skill.  You can submit a copy of valid TOEIC score (Listening and Reading Section) of at least 600, or pass the English Placement Test (EPT) that is conducted by the Regional Human Resources Office. (This may be tested) Skills: Computer competencies including basic skills in Microsoft Office applications. Must have a valid, current local driver’s license is required.  A copy of Thai driver’s license is required with application). Incumbent must be at least 25 years old.  A valid driver's license for a minimum of five years is required. Must be able to lift a maximum of 51 lbs. (23kg) under OSHA standards. (5) Knowledge: Knowledge of supply chain, warehousing operations and/or property/expendables management. BENEFITS: Bonus, Life Insurance, Health Insurance, Leaves, Holidays TO APPLY: Please follow the checklists and submission guidelines, posted on the official website carefully. You have to create an online account on the U.S. Embassy, Bangkok websiteto apply for jobs(https://th.usembassy.gov/embassy-consulate/jobs/job-vacancies/ [link removed]). Failure to follow the instructions will invalidate your application. กรุณาสมัครงานโดยการสร้างบัญชีออนไลน์ของท่านผ่าน เว็บไซต์ ของสถานทูตสหรัฐอเมริกา เท่านั้น (https://th.usembassy.gov/embassy-consulate/jobs/job-vacancies/ [link removed]) มิฉะนั้นใบสมัครของท่านจะไม่ได้รับการพิจารณา"
Sales Executive / Telesales (Freight Forwarder)/เจ้าหน้าที่บริหารงานขาย,"Star Overseas Co., Ltd.","Khlong Toei, Bangkok",Freight/Cargo Forwarding,Full time,25000,30000,"รายละเอียดงาน : Develop NEW and prospective customers while maintaining existing accounts. Assist Sales & Branch Managers in the preparation and negotiation of bids, RFQ’s & quotations with customers, suppliers and overseas agents. Assist with sales campaigns and events in conjunction with local and overseas partners. Co-ordinate and attend sales visits with overseas partners for aiding business development if applicable. Plan and manage personal business portfolio/territory according to agreed market strategy. Joint sales visits with other sales professionals. Quoting of freight costs to new customers. Response and follow up sales inquiries and leads using appropriate methods. คุณสมบัติ Knowledge of related computer applications and reporting tool Familiar with all freight forwarding procedures, regulations & departments Bachelor's degree in Logistics or Freight Forwarder 1-3 years experience in operations and customer service of Freight Forwarder field. Demonstrated Customer Services skills Proven Sales and Business selling ability & success Self motivated and results driven Outstanding people and communication skills Excellent problem solving ability Excellent Time Management skills Active, Positive attitude, Tough attitude Have own car and driving license วันและเวลาปฏิบัติงาน: ทำงาน 5 วัน จันทร์-ศุกร์ .8-30-17.30 น. หยุด เสาร์-อาทิตย์ และ นักขัตฤกษ์ สวัสดิการ : คอมมิชชั่น และ อินเซ็นทีฟ ประกันสุขภาพกลุ่ม ประกันอุบัติเหตุกลุ่ม ประกันสังคม โบนัสประจำปี ปรับเงินเดือนทุกปี สิทธิ์ลาพักร้อนประจำปี สวัสดิการเยี่ยมไข้ สวัสดิการช่วยกรณีงานศพ กิจกรรมบริษัทฯ อาทิเช่น ปีใหม่ ตรุษจีน สงกรานต์ เอ้าท์ติ้ง ฯลฯ Location: Near BTS Onnut Star Overseas Co., Ltd. 662/52,662/53 Soi Sukhumvit 50, Prakhanong, Khlong Toey, Bangkok 10260 Tel . 02-108-7433-35 or 097-2733092"
Cross Border Manager,DSV Air & Sea Ltd.,"Lat Krabang, Bangkok",Freight/Cargo Forwarding,Full time,,,"Job Functions Ensure operation of cross border trucking to follow Standard Operation Procedure and work instruction to meet customers' requirements. Create appropriate SOP in order to ensure all CBT shipments will be well arranged from origin to destination. Recommend and implement preventive plan and corrective action on any problem or customers' complaint. Coordinate with subcontractor to minimize expense and increase profitability Coordinate with overseas agent to driving sale of CBT service, develop appropriate SOP and any requirements to secure new business. Develop and maintain regular service or problem review with customers to enhance current and future business. Work with sale team to provide necessary details, costing and SOP to enable sale team to offer competitive rate and service to increase volume of current and new business. Record and analyse CBT volume, income and profit in order to generate proposal to increase volume and profit with cost management. Report problems with recommendation in timely basis to Cross Border Trucking Manager to find out best solution. Record and conduct cross border operation review meeting with operation team to develop and improve service level to meet or exceed customers' demand Lead and develop new potential routes in CBT service to expand business in cross border trucking markets. Performs special projects and all other assignments, especially associated with the further growth of cross border products and markets. Conduct meeting for operation review with subcontractors to follow standard operating procedure to increase service level. Support and full fill operation team when required Qualification Have experience Cross border 5-10 years Good command English Good Leadership"
