Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Medical Representative,OLIC (Thailand) Limited,Bangkok,Account & Relationship Management,Full time,,,"BKK : 4 HCs / UPC : 4 HCs Responsibilities: • Provide scientific information and organize scientific events/ activities to healthcare professionals (HCPs) at account level in alignment with defined Sales and Marketing strategies • Propose the new launch products of OLIC by enlisting to target hospitals • Conduct sales call to the assigned accounts/customers within the assigned territory to promote the new launch products of OLIC for achieving sales target • Build OLIC corporate brand presence among HCPs • Build and retain positive working relationship with HCPs • Build and monitor brand adoption of our target HCPs align with brand strategy • Communicate to managers including the outcomes of customer visits e.g. customer’s requirements and competitors’ activities to reflect market dynamics and potential counteracts • Other tasks related to Sales & Marketing as assigned by managers • Report all activities related to customer engagement in CRM • Comply with compliance policy of OLIC Qualifications: • Bachelor's degree in Pharmacy, Science or related field • At least 2-3 year working experience in Medical Representative role • Preferably candidates who have a good relationship with OB&GYN KOLs • A proven sales track record of achieving sales targets and able to building relationship with KOLs • Demonstrable success to enlisting products in key target hospitals especially Medical school • Passion to win with achievement-oriented in the highly competitive market • Self-motivated, result & customer oriented, team player and service-minded"
Account Executives (ERP & Retail Solution),บริษัท เอวิชั่น จำกัด,"Phaya Thai, Bangkok",New Business Development,Full time,,,"We are only considering experienced candidates with a proven successful record selling ERP & Retail applications in the past. KEY RESPONSIBILITIES: Create, qualify, develop and maintain an opportunity pipeline that drives sales activities, ensuring that assigned targets/ quotas will be achieved. Evaluate customer business requirements, and determine whether our products will be an effective solution for new prospects. Present proposed solutions and conduct product overview demonstrations to new prospects. Complete the sales process from beginning to closing in an effective and well-managed process. Work closely with the inside consultant team to create and manage a strong pipeline to drive business in both existing customers and new prospects REQUIREMENTS: Bachelor’s degree in business or sales and marketing, or related field. MUST have a minimum of 2 years of sales experience with ERP software solutions; Sage, NetSuite, Epicor, Infor, Dynamics NAV/ AX, Dynamics365 Business Central, or Retail solution (POS). Proven experience in and strong knowledge of various business industries, especially retail business. Excellent consultative selling skills and experiences would be a strong advantage. Negotiation skills, pleasant personality, service mind, and good communication skills, ability to work with minor supervision, flexible, responsible, and self-disciplined. Very strong presentation skills. Fluent in English, reading, writing, and speaking. Work location : Near BTS Sanam Pao Please send your application letter with your full resume, telephone number, expected salary, availability, and a recent photo or E-mail to the HR department. Address : HR Department : 979/49-50 SM Tower 20th Floor, Phaholyothin Road, Samsennai, Phyathai, Bangkok 10400 P: +66 2619 5838-9 | F: +66 2619 5838 - 9 ext26."
Business Creation/ BD/ Project Manager (Construction Business) **Find out...,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,New Business Development,Full time,,,"Looking for Business Creation/ BD/ Project Manager (Construction Business) Candidate for Japanese Company Job Descriptions: Overview: Developing a business strategy focused on financial gain and arranging business development meetings with prospective clients. Evaluate the effectiveness of business plan, marketing and sales strategy and public relations strategy to analyze and provide necessary recommendations. Analyze market trends and customer needs to identify new business development opportunities. Conducting research on marketing strategies and existing products Manage and revise annual business plans and budgets as needed. Review and recommend improvements to existing business strategies. Attending trade shows, industry associations, job fairs to improve company’s visibility. Develop dynamic business presentations and proposals for clients and internal communications. Inform potential clients about the company’s new products and price development details on a regular basis. Participate in industry and sales meetings to provide recommendations and inputs on business strategies. Assist in preparing business plans and budgets for new projects. Assist marketing team in preparing market plans and strategies to promote company’s products. Develop training plans and performance improvement plans to address skill set gaps identified in business and sales staff. Identify, recruit and lead a team to successfully execute business plan within defined scope, timeline and budget. Coach marketing corporate team to develop sales strategies to improve company’s marketing and sales performance. Work with sales teams, customers, and clients to evaluate and improve consumer satisfaction. Ensure that sales and business personnel are appreciated and recognized for their hard work and success. Coordinate meetings, calls and communications between management and clients throughout the business implementation and execution stages. Keep regular contacts with past, existing, and new clients to explore new opportunities. Build and establish strong relationship with customers Qualifications: . Bachelor's degree or above in Civil Engineering, Architect or any related fields 8 - 10 years of working experience; Sales/BD/Project management (preferably in construction business) Good Communication in English *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. **By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. CONTACT: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd. บริษัทจัดหางาน เพอร์ซอลเคลลี่ เอชอาร์ เซอร์วิสเซส (ประเทศไทย) จำกัด"
Business Strategy,Dhipaya Insurance Public Company Limited,"Yan Nawa, Bangkok",New Business Development,Full time,,,หน้าที่ความรับผิดชอบ: - วางแผน วิเคราะห์ ออกแบบ และพัฒนาเครื่องมือหรือสร้างเครื่องมือเชิงกลยุทธ์ใหม่ๆให้กับองค์กร - วิเคราะห์กระบวนการทำงานในปัจจุบัน เพื่อปรับปรุง และพัฒนาให้สอดคล้องกับธุรกิจขององค์กร - ติดตามความเคลื่อนไหวของปัจจัยภายนอกและภายในองค์กรทุกมิติ ศึกษาและวิเคราะห์ข้อมูลเชิงลึกทั้งภายในและภายนอกองค์กร เพื่อประเมินโอกาส หรือ gap ในการพัฒนากลยุทธืและสร้างความได้เปรียบทางการแข่งขันในทุกมิติ - วางแผน สนับสนุน และเป็นที่ปรึกษาด้านการบริหารงานร่วมกับฝ่ายต่างๆ คุณสมบัติ: - จบการศึกษาระดับปริญญาตรี สาขา financial / business management / innovation - ประสบการณ์ทำงาน 3 ปีขึ้นไป ในด้านที่เกี่ยวข้อง - มีความคิดเชิงกลยุทธ์ - มีความคิดสร้างสรรค์ - มีประสบการณ์ทำงานธุรกิจประกันภัยจะพิจารณาเป็นพิเศษ*
Assistant Head of Operation / Up to 100K @ BTS Ratchadamri / BTS Ploenchit,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Management,Full time,90000,100000,"Responsibilities: Take responsiabilities to management and monitoring task of operations and supporting back office. (Cash account service, Settlement, Receive&Payment, Custody and Wealth) Responsible for managing in daily operation all supporting functions in the securities, equity, derivatives and fix income or BE/PN. Responsible for servicing and facilitating selling agents / referral agents’ requirements. Co-ordinate with related department CRC, IT, CPA, ACF, Front officer (IC) to ensure the operations requirement are supported business of front office to ensure client satisfaction and complies with the regulations. To be representative to attend meeting with other brokers in Back Office Operation Club, ASCO, SET, Back Office Service Bureau (BSB) to update information which impacted on operation working. Provide any guidance and support team members to meet the team objectives. Planning for implementation to supporting the new project in order to meet the company objectives. Qualification 10+ years of experience in Securities industry focusing on Operation. (Any role related to securities product). Strong communications skills and capable of managing the Operations relationship with the clients. Background in Securities (preferable), banking and financial services. Knowledgeable of Thai securities products: Equity, Derivatives, Bond. Good command in English."
"Division Manager, Sourcing (medical equipment)...",Principal Healthcare Company Limited,"Bang Phli, Samut Prakan",New Business Development,Full time,,,"หน้าที่และความรับผิดชอบ : 1. การคัดเลือก และสรรหา สินค้าและผู้ขาย วางแผนในการสรรหาสินค้าและผู้ขายเพื่อให้ทีมสามารถนำไปดำเนินการได้ระยะเวลาที่กำหนด กำหนดเกณฑ์หรือเงื่อนไขในการคัดเลือกผู้ขายที่เหมาะสม คัดเลือกผู้ขายให้เป็นไปตามเกณฑ์หรือเงื่อนไขที่กำหนด ตรวจสอบข้อมูลสินค้า ให้เป็นไปตามความต้องการของลูกค้า ตรวจสอบข้อมูลสินค้าและผู้ขายที่ได้รับคัดเลือกว่ามีราคาที่เหมาะสม และเป็นไปตามงบประมาณที่วางไว้ 2. การประเมินผู้ขายหรือผู้รับเหมา วางแผน คัดกรองผู้ขายที่ใช้บริการ มาทำการประเมินผู้ขายอย่างน้อยปีละครั้ง เพื่อปรับปรุงข้อมูลผู้ขายให้ทันสมัย วิเคราะห์และสรุปผลการคัดเลือกผู้ขายที่เหมาะสม 3. การนำข้อมูลสินค้าและผู้ขายเข้าระบบ และ update อย่างสม่ำเสมอ 4. การปรับปรุงฐานข้อมูลผู้มีอำนาจอนุมัติ PR/PO 5. การสื่อสารข้อมูลการจัดซื้อสินค้าหรือบริการ ตรวจสอบความถูกต้องของข้อมูลระหว่างผู้ขายและผู้ใช้ พัฒนาการสื่อสารที่มีประสิทธิภาพ เพื่อให้เกิดคประสิทธิภาพในกระบวนการสรรหาและสั่งซื้อ 6. งานอื่นที่ได้รับมอบหมาย คุณสมบัติ : วุฒิการศึกษา ปริญญาตรีขึ้นไป มีประสบการณ์ด้านจัดซื้อ,จัดหาเครื่องมือแพทย์มากกว่า 3 ปีขึ้นไป มีประสบการณ์เกี่ยวกับด้านธุรกิจโรงพยาบาลหรือ Healthcare มีความรู้ ด้านการสรรหา คัดเลือก และประเมินผู้ขาย มีทักษะ การใช้โปรแกรม Microsoft Office (Excel / Word / Power Point / Visio) มีทักษะด้านการเจรจาต่อรอง มีความรู้เกี่ยวกับระบบบริหารงานจัดซื้อ และบริหารทีม สถานที่ปฎิบัติงาน : โรงพยาบาลพริ้นซ์ สุวรรณภูมิ จังหวัดสมุทรปราการ 35/2 หมู่ 12 ถนนบางนา-ตราด ซอย 64 ตำบล บางแก้ว อำเภอบางพลี จังหวัดสมุทรปราการ To apply for this position or to discuss further information, please contact us or send resume to ""APPLY NOW"" PRINCIPAL HEALTHCARE COMPANY LIMITED Bangkok Business Center,Sukhumvit 63 Rd. Klongton-Nua,Wattana,Bangkok 10110 Thailand."
Sales Manager (Modern Trade)/ผู้จัดการฝ่ายขายฝั่ง Modern Trade,"Asian Leaders Career Recruitment Co., Ltd.",Bangkok,New Business Development,Full time,45000,69999,"Our client are brands of pens and pencils product. Responsibilities - Client Relationship Management Develop and maintain strong, long-term relationships with key clients, retailers, or distributors. Understand their needs, provide support, and act as the primary point of contact. - Sales and Business Development Identify opportunities for business expansion by upselling, cross-selling, and introducing new products to existing & new clients. Prospect and acquire new accounts. - Account Planning and Strategy: Develop account plans and strategies to achieve sales targets and objectives. Collaborate with internal teams such as marketing and product development to align strategies and meet customer demands. - Forecasting and Reporting: Monitor sales performance, track market trends, and prepare sales forecasts and reports. Analyze data to identify areas for improvement and implement corrective actions as needed. Qualifications - Business level English - Own car & Driving lincense - min 5 years exp of sales including management level -Experience in sales in the stationery or consumer goods and modern trade Industry is MUST. Working Conditions  Monthly Salary (negotiable) + incentive  Work day : Mon-Fri Please apply via click apply below or email"
E-commerce,"Mitr Phol Sugar Corp., Ltd.",Bangkok,Account & Relationship Management,Full time,,,"Develop skincare categories e-commerce strategies and execute plan and key initiatives to drive growth. Responsible for e-commerce business across Lazada, Shopee, Facebook, Line, Instagram, Tik Tok and Own channel. Cooperate with marketing, graphics, customer service, fulfillment, and supply chain to optimize customer experience and channel performance. Develop monthly promotion plan and optimize product mix in each channel. Create and execute strategies for marketplace onsite traffic with platform tools and support performance marketing in social media for offsite traffic. Prepare monthly sales forecast aligning with budget/trend and manage demand forecast with marketing and supply chain team. Support budget planning and manage spending effectiveness and track productivity. Handle weekly and monthly performance reports of sale and operation, sell-out analysis and conclusions and recommendations. Gain consumer and channel insights and make strategic recommendations based on knowledge of consumer, channel, competition, and trends."
Sales Manager/ผู้จัดการฝ่ายขาย,TBN Corporation Public Company Limited,"Vadhana, Bangkok",Management,Full time,70000,119999,"Responsibilities: Conduct market research to identify selling possibilities and evaluate customer needs. Actively seek out new sales opportunities through  cold calling, networking, and social media. Prepare and deliver appropriate presentations on the Mendix platform as well as other TBN’s products and services. Work closely with management to set an annual sales budget. Prepare and follow up on the quotation/ proposal submitted. Drive sales to reach agreed budget. Report updates on sales pipeline and sales projections with management regularly. Participate on behalf of the company in exhibitions or conferences to find potential customers. Gather feedback from customers or prospects and share it with internal teams. Liaise and work closely with software principals on sales budget and product updates. Qualifications & Skills required: Bachelor’s or master’s degree in a related field. At least 8 years of sales experience in software industry. Self-starter with drive to achieve sales budget Excellent interpersonal and presentation skills. Working location: Near MRT Sukhumvit /BTS Asoke"
Area Sales - North/พนักงานขายประจำพื้นที่ ภาคเหนือ,"Super Central Gas Co., Ltd.",Northern Region,Account & Relationship Management,Full time,,,1.วางแผนงานขายโซล่าเซลล์ทั้งระบบ เช่น สร้างตัวแทนจำหน่าย (Dealer) ประจำภาค 2.ติดต่องานขายกลุ่มลูกค้าต่างๆ ตามเป้าหมาย เช่นหน่วยงานราชการ ลูกค้าทั่วไป งานประมูลต่างๆ 3.ประสานงาน อำนวยความสะดวกในงานขาย 4.จัดทำรายงานประจำเดือน เพื่อมาพัฒนาปรับปรุงการขาย 5.จัดทำยอดขายประจำเดือน รายงานผู้บังคับบัญชา 6.อื่นๆ ตามที่ได้รับมอบหมาย
